playlist_id,playlist_name,total_tracks,avg_track_popularity
3dEL2fn2HqnnIpSlearSJE,90s DanceHall 🔥,51,NULL
3dFoe33JqsTEp3o1Jx56Yp,Best Minecraft songs 2025,32,NULL
3dHGqzM20pYEW1ZyMvcw9N,ADHD Sleep Music,300,NULL
3jP3JeBbJPPzurmD67TTOX,jazz,109,NULL
3kEnfYJ3dyBG05cRm6UDnZ,70s Country (Top 100),114,NULL
3nS8d7ekVjFLM4jVyqbDGY,"Waka Waka (This Time for Africa) Shakira  Tsamina mina, eh, eh Waka waka, eh, eh Tsamina mina zang",105,NULL
3pRPSiVu1EOiZXC54ffR2e,Full Quran- Mishary,114,NULL
3xqcAMgjHGrv3ElA51zZRj,Eminem: Best Of The Best,44,NULL
45xC6oHfdWxDURVicbYMjl,([[[|]]){,3697,NULL
4ANlBwGxSJlFTWjj3kTeXU,The 50s & 60s - Golden Oldies,103,NULL
4IKGSUCK45fENklONNSpZR,Best of SKA PUNK,80,NULL
4ILyGg3caO2FNlSlnEktDj,TOPGOLF,28,NULL
4KSEJTnuzMqQUrhym2UF9K,Best of Charlotte Cardin - Feel Good,56,NULL
4SqHPxWKDi4YP91NYLzBmZ,>:(,334,NULL
4T75fQJbyBh8xXBVi1Hv4K,Greatest Rock Ballads,171,NULL
4TAyMk5PSfBTmCAFwTbuQg,Soft Worship Music | Calming Christian,122,NULL
4TwPUSsqgK1BYQxatjvfPL,🇮🇳Indian remix🇮🇳🍛,53,NULL
4Ymf8eaPQGT7HMTymoX82f,AMAPIANO 2025🇿🇦🇿🇦 | SOUTH AFRICA (SA)🇿🇦🇿🇦| AMAPIANO TIKTOK HITS | AFROBEATS |AMAPIANO GROOVE ,71,NULL
4YywQSYzZGtdGNFC3OhoMh,Bailey Zimmerman - Holding On,36,NULL
4asoVXnZZSnf6CB586Wigz,Canadian Classic Rock,315,NULL
4gneNIXsgS0yiYO7XRTJv9,Asian Massage,229,NULL
4muHyvSwG1wP9sI4XihC5w,Instrumental Popular Songs 2025,551,NULL
